route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_motor
OCE16628,5139,OCESN003619F020029570,"3619",1,,,intercite
OCE16628,6642,OCESN003605F260269555,"3605",1,,,intercite
OCE16628,3621,OCESN003604F230239547,"3604",0,,,intercite
OCE16628,6612,OCESN003614F400409559,"3614",0,,,intercite
OCE16628,4556,OCESN003614F210219558,"3614",0,,,intercite
OCE16628,421,OCESN003614F390399557,"3614",0,,,intercite
OCE16628,1640,OCESN003628F170179585,"3628",0,,,intercite
OCE16628,2806,OCESN003624F320329577,"3624",0,,,intercite
OCE16628,3791,OCESN003624F130139578,"3624",0,,,intercite
OCE16628,560,OCESN003684F540549657,"3684",0,,,intercite
OCE16628,4734,OCESN003684F550559656,"3684",0,,,intercite
OCE16628,1639,OCESN003628F180189583,"3628",0,,,intercite
OCE16628,1640,OCESN003614F410419561,"3614",0,,,intercite
OCE16628,233,OCESN003614F230239556,"3614",0,,,intercite
OCE16628,3445,OCESN003664F160169634,"3664",0,,,intercite
OCE16628,4732,OCESN003684F560569648,"3684",0,,,intercite
OCE16628,390,OCESN003664F150159633,"3664",0,,,intercite
OCE16628,1408,OCESN003664F090099631,"3664",0,,,intercite
OCE16628,3202,OCESN003674F180189640,"3674",0,,,intercite
OCE16628,4897,OCESN003674F380389639,"3674",0,,,intercite
OCE16628,4731,OCESN003684F430439647,"3684",0,,,intercite
OCE16628,4899,OCESN003674F410419643,"3674",0,,,intercite
OCE16628,3622,OCESN003604F180189552,"3604",0,,,intercite
OCE16628,1408,OCESN003684F380389649,"3684",0,,,intercite
OCE16628,4733,OCESN003684F530539650,"3684",0,,,intercite
OCE16628,570,OCESN003684F150159652,"3684",0,,,intercite
OCE16628,2273,OCESN003604F190199551,"3604",0,,,intercite
OCE16628,2883,OCESN003648F120129617,"3648",0,,,intercite
OCE16628,1902,OCESN003604F240249549,"3604",0,,,intercite
OCE16628,1408,OCESN003648F110119616,"3648",0,,,intercite
OCE16628,2506,OCESN003638F130139599,"3638",0,,,intercite
OCE16628,233,OCESN003654F180189621,"3654",0,,,intercite
OCE16628,530,OCESN003634F320329593,"3634",0,,,intercite
OCE16628,1408,OCESN003638F120129598,"3638",0,,,intercite
OCE16628,1636,OCESN003654F340349622,"3654",0,,,intercite
OCE16628,7876,OCESN003674F400409638,"3674",0,,,intercite
OCE16628,7877,OCESN003674F160169641,"3674",0,,,intercite
OCE16628,1408,OCESN003654F190199623,"3654",0,,,intercite
OCE16628,1981,OCESN003654F350359624,"3654",0,,,intercite
OCE16628,3737,OCESN003634F210219588,"3634",0,,,intercite
OCE16628,3738,OCESN003634F330339592,"3634",0,,,intercite
OCE16628,233,OCESN003634F300309590,"3634",0,,,intercite
OCE16628,5611,OCESN003708F040049675,"3708",0,,,intercite
OCE16628,3798,OCESN003706F170179674,"3706",0,,,intercite
OCE16628,6648,OCESN003652F010019620,"3652",0,,,intercite
OCE16628,74,OCESN003684F280289653,"3684",0,,,intercite
OCE16628,6666,OCESN003650F010019619,"3650",0,,,intercite
OCE16628,4735,OCESN003684F570579655,"3684",0,,,intercite
OCE16628,6616,OCESN003694F390399670,"3694",0,,,intercite
OCE16628,4650,OCESN003694F240249667,"3694",0,,,intercite
OCE16628,4877,OCESN003642F010019603,"3642",0,,,intercite
OCE16628,180,OCESN003642F100109600,"3642",0,,,intercite
OCE16628,4879,OCESN003642F150159604,"3642",0,,,intercite
OCE16628,1981,OCESN003644F300309608,"3644",0,,,intercite
OCE16628,4161,OCESN003642F160169605,"3642",0,,,intercite
OCE16628,261,OCESN003644F220229606,"3644",0,,,intercite
OCE16628,6615,OCESN003694F450459672,"3694",0,,,intercite
OCE16628,6617,OCESN003694F410419671,"3694",0,,,intercite
OCE16628,6614,OCESN003694F460469669,"3694",0,,,intercite
OCE1113943,849,OCESN409889R0100156248,"409889",1,,,intercite
OCE1113943,849,OCESN409858R0100156246,"409858",0,,,intercite
OCE725913,204,OCESN408457R0200256207,"408457",1,,,intercite
OCE725913,204,OCESN409089R0200256235,"409089",1,,,intercite
OCE725913,2372,OCESN408529R0200256213,"408529",1,,,intercite
OCE725913,2372,OCESN408521R0200256212,"408521",1,,,intercite
OCE725913,309,OCESN410563R0300356256,"410563",1,,,intercite
OCE725913,2372,OCESN409041R0100156233,"409041",1,,,intercite
OCE725913,204,OCESN409049R0100156234,"409049",1,,,intercite
OCE725913,81,OCESN410563R0200256255,"410563",1,,,intercite
OCE725913,2372,OCESN408489R0200256210,"408489",1,,,intercite
OCE725913,81,OCESN410564R0200256257,"410564",0,,,intercite
OCE725913,81,OCESN408490R0200256211,"408490",0,,,intercite
OCE725913,309,OCESN410564R0300356258,"410564",0,,,intercite
OCE725913,81,OCESN408994R0100156231,"408994",0,,,intercite
OCE725913,204,OCESN408442R0100156206,"408442",0,,,intercite
OCE725913,81,OCESN409172R0200256236,"409172",0,,,intercite
OCE725913,2372,OCESN408428R0200256205,"408428",0,,,intercite
OCE909879,7094,OCESN408827R0200256218,"408827",1,,,intercite
OCE909879,414,OCESN408825R0200256217,"408825",1,,,intercite
OCE909879,203,OCESN409009R0200256232,"409009",1,,,intercite
OCE909879,203,OCESN408898R0200256225,"408898",0,,,intercite
OCE909879,414,OCESN408770R0200256215,"408770",0,,,intercite
OCE725919,1121,OCESN408945R0200256228,"408945",1,,,intercite
OCE725919,1121,OCESN408844R0200256223,"408844",0,,,intercite
OCE726006,802,OCESN408361R0200256199,"408361",1,,,intercite
OCE725905,309,OCESN408017R0300356174,"408017",1,,,intercite
