service_id,date,exception_type
2308,20211225,1
2308,20220101,1
558,20211225,1
558,20220101,1
7286,20211221,2
7286,20211222,2
7286,20211224,2
7286,20211225,2
7286,20211228,2
7286,20211229,2
7286,20211231,2
7286,20220101,2
670,20211225,2
670,20220101,2
994,20211221,2
994,20211222,2
994,20211223,2
994,20211224,2
994,20211225,2
994,20211228,2
994,20211229,2
994,20211230,2
994,20211231,2
994,20220101,2
7552,20220110,2
1865,20220110,1
2606,20211223,2
2606,20211230,2
4230,20211224,1
4230,20211231,1
4230,20220110,2
5096,20211224,1
5096,20211231,1
1976,20211221,1
1976,20211222,1
1976,20211223,1
1976,20211224,1
1976,20211225,1
1976,20211228,1
1976,20211229,1
1976,20211230,1
1976,20211231,1
1976,20220101,1
1976,20220208,1
1976,20220209,1
1976,20220210,1
1976,20220211,1
1976,20220212,1
1976,20220215,1
1976,20220216,1
1976,20220217,1
1672,20220212,1
1672,20211221,1
1672,20211222,1
1672,20211223,1
1672,20211224,1
1672,20211228,1
1672,20211229,1
1672,20211230,1
1672,20211231,1
1672,20220215,1
1672,20220216,1
1672,20220217,1
7561,20211221,1
7561,20211222,1
7561,20211223,1
7561,20211224,1
7561,20211225,1
7561,20220208,1
7561,20220209,1
7561,20220210,1
7561,20220211,1
7561,20220212,1
7561,20220215,1
7561,20220216,1
7561,20220217,1
7561,20211213,1
7561,20211219,1
7561,20211220,1
7561,20211226,1
7561,20211227,1
7561,20211231,2
7147,20211224,1
7147,20211231,1
7147,20211225,2
7147,20220101,2
4935,20211224,1
4935,20211231,1
3956,20211221,2
3956,20211222,2
3956,20211223,2
3956,20211224,2
3956,20211225,2
3956,20211228,2
3956,20211229,2
3956,20211230,2
3956,20211231,2
3956,20220101,2
501,20211221,2
501,20211222,2
501,20211223,2
501,20211224,2
501,20211225,2
501,20211228,2
501,20211229,2
501,20211230,2
501,20211231,2
501,20220101,2
764,20220101,2
764,20211225,2
764,20211226,2
758,20211226,2
752,20211225,2
752,20220101,2
760,20211225,1
760,20211226,1
760,20220101,1
798,20211225,2
798,20220101,2
794,20211128,1
3153,20211128,2
792,20220101,2
792,20211225,2
792,20211226,2
793,20211128,2
809,20211121,1
2518,20211220,2
2518,20211227,2
4564,20211221,2
4564,20211228,2
2750,20211220,2
2750,20211227,2
3667,20211225,2
3667,20220101,2
3741,20211225,1
3741,20220101,1
211,20211225,2
211,20220101,2
1032,20211225,1
1032,20220101,1
275,20211224,1
275,20211231,1
275,20211225,2
275,20220101,2
7884,20211216,1
5343,20211123,1
5343,20211124,1
3681,20211204,2
3680,20211127,2
3680,20211120,2
2681,20211221,2
2681,20211228,2
2247,20211225,2
2247,20220101,2
4917,20211213,1
4917,20211214,1
4917,20211215,1
4917,20211216,1
4917,20211217,1
4917,20211218,1
4917,20211228,2
4917,20211229,2
4917,20211230,2
4917,20211231,2
4917,20220101,2
4917,20211220,2
578,20211221,2
578,20211222,2
578,20211224,2
578,20211225,2
578,20211228,2
578,20211229,2
578,20211231,2
578,20220101,2
583,20211223,2
583,20211230,2
571,20211221,2
571,20211222,2
571,20211223,2
571,20211224,2
571,20211225,2
571,20211228,2
571,20211229,2
571,20211230,2
571,20211231,2
571,20220101,2
2708,20211225,2
2708,20220101,2
1491,20211225,1
1491,20220101,1
2491,20211220,2
2491,20211227,2
625,20211213,1
625,20211219,1
7885,20211213,1
7885,20211219,1
4803,20211224,2
4803,20211231,2
1533,20220211,1
1533,20211221,1
1533,20211222,1
1533,20211223,1
1533,20211228,1
1533,20211229,1
1533,20211230,1
1533,20220215,1
1533,20220216,1
1533,20220217,1
